単語番号,日,種類,ファイル名,長さ(秒),開始(フレーム),終了(フレーム)
001,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.0,107008,150528
001,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.7,158720,187904
001,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,2.4,214016,320512
002,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,0.8,378880,414208
002,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.6,429568,456704
002,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,2.6,483840,598528
003,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,0.9,633344,672768
003,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.8,683008,717824
003,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,2.8,732672,855552
004,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.0,919552,963584
004,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.6,964096,992256
004,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,2.1,1018880,1110528
005,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.0,1156608,1201664
005,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.8,1211904,1246208
005,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,1.9,1267200,1352192
006,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,0.9,1415680,1454080
006,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,1.0,1466368,1511424
006,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,3.2,1521664,1660928
007,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.1,1718784,1765376
007,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.8,1774592,1810944
007,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,1.9,1828864,1912832
008,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.1,1961472,2008064
008,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.9,2016768,2058240
008,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,3.0,2089472,2222080
009,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.0,2271232,2316800
009,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.9,2320384,2358272
009,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,2.0,2375680,2464768
010,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.0,2518528,2561024
010,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.8,2568192,2605568
010,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,2.9,2623488,2749952
011,01,中国語,050_Kikutan_Chinese_Nyumon.mp3,1.1,2799104,2846720
011,01,日本語,050_Kikutan_Chinese_Nyumon.mp3,0.8,2854912,2888192
011,01,例文1,050_Kikutan_Chinese_Nyumon.mp3,2.3,2904576,3004928
